number,position,value

1,1,たまごかけごはん
2,3,すしめし
3,5,ゆでたまご
4,7,さんましおやき
5,10,ぴらふ
6,12,せろり
7,14,いかさしみ
8,16,ふれんちとーすと
9,18,あまらんさす
10,20,なまのかぼちゃ
11,22,ゆでとうもろこし
12,28,はちみつ
13,30,いたこんにゃく
14,32,はつがげんまいごはん
15,40,とうふよう
16,42,とうみょうあぶらいため
17,44,とうみょうなま
18,46,とうみょうゆで
19,48,とうにゅうこーひー
20,50,ゆば
21,52,ちょうせいとうにゅう
22,54,せきはん
23,58,むしむらさきいも
24,60,むしじゃがいも
25,62,むしさつまいも
26,64,むしさつまいも
27,66,やきとうふ
28,68,まつのみ
29,72,しそは
30,74,せりなま
31,76,せりゆで
32,78,いとひきなっとう
33,80,くろざとう
34,82,ごまどうふ
35,84,くるみ
36,88,かんぱん
37,90,くずきり
38,92,おきなわそば
39,94,らーめん
40,96,もちごめごはん
41,98,めいぷるしろっぷ
42,100,まっしゅぽてと
43,102,まかろに
44,104,まかだみあなっつ
45,106,ぽっぷこーん
46,108,べにばないんげん
47,110,へーざるなっつ
48,112,ふらんすぱん　ばげっと
49,114,ぶらじるなっつ
50,122,ぶどうぱん
51,127,ひややっこ　もめん
52,129,ひややっこ　きぬ
53,131,ひややっこ　おきなわとうふ
54,133,ひややっこ　そふととうふ
55,136,ひきわりなっとう
56,138,ぴーかんなっつ
57,140,ばたーぴーなっつ
58,142,ぱすた
59,144,なん
60,148,じねんじょとろろ
61,150,やまといもとろろ
62,152,てんぺ
63,154,すなっぷえんどうなま
64,156,すなっぷえんどうゆで
65,157,すうどん
66,159,じゃいあんとこーん
67,161,さやいんげんなま
68,162,さやいんげん(ゆで)
69,163,さやいんげんゆで
70,165,さつまいもてんぷら
71,167,こーんふれーく
72,169,くろわっさん
73,173,ぐりーんぴーすゆで
74,175,かしゅーなっつ
75,177,おそば
76,178,おもゆ
77,180,おくらなま
78,181,おかゆ
79,182,おかひじき(ゆで)　
80,183,おかひじきゆで
81,185,おおさかしろなしおづけ
82,189,おおさかしろな
83,191,いんすたんとやきそば
84,193,いんすたんとらーめん
85,195,いんげんまめ　ゆで
86,197,いんぐりっしゅまふぃん
87,198,あわもち
88,206,あーもんど　ふらいあじつけ
89,208,あーもんど　いり　むえん
90,210,あーてぃちょーく
91,212,おみず
92,216,ひまわり
93,218,ちょこばなな
94,220,しゅがーとーすと
95,222,おみず
96,224,さとうきびじゅーす
97,226,みず
98,227,ごはん
99,229,おおきならっかせい
100,231,ちいさならっかせい
101,233,あげまめ
102,235,あぶらあげ
103,239,こめこぱん
104,241,ごとなっとう
105,243,げんまいごはん
106,247,ろーるぱん
107,249,らいむぎぱん
108,251,ぴすたちお
109,253,たいまい
110,255,こっぺぱん
111,257,かぼちゃのたね
112,259,おーとみーる
113,261,あさつき
114,262,あくまき
115,264,ななぶつきこめ
116,266,ごぶがゆ
117,270,はすのみ
118,272,えだまめ
119,274,かぶはなま
120,276,かぶはゆで
121,278,かぶねなま　かわむき
122,280,かぶねゆで　かわむき
123,282,かぶのしおづけ
124,284,かぶのぬかみそづけ
125,286,にほんかぼちゃゆで
126,288,せいようかぼちゃなま
127,290,せいようかぼちゃゆで
128,292,せいようかぼちゃやき
129,294,そうめんかぼちゃなま
130,296,かりふらわーゆで
131,298,きゃべつなま
132,300,きゃべつゆで
133,302,きゃべつあぶらいため
134,304,れっどきゃべつなま
135,306,きゅうりなま
136,308,きゅうりしおづけ
137,310,きゅうりしょうゆづけ
138,312,きゅうりぬかみそづけ
139,314,ぴくるす
140,316,ぴくるすさわー
141,318,くれそん
142,320,しょうがすづけ
143,322,しょうがあまずづけ
144,324,しろうりしおづけ
145,326,しろうりならづけ
146,328,ほしぜんまい
147,330,かいわれだいこん
148,332,だいこんおろし
149,334,だいこんゆで
150,336,きりぼしだいこんゆで
151,338,きりぼしだいこんあぶらいため
152,340,だいこんぬかみそづけ
153,342,だいこんしおおしたくわんづけ
154,344,たくわん
155,346,もりぐちづけ
156,348,べったらづけ
157,350,だいこんみそづけ
158,352,たいさいしおづけ
159,354,たかなづけ
160,356,たけのこなま
161,358,たけのこかんづめ
162,360,めんま
163,362,たまねぎなま
164,364,たまねぎみずさらし
165,366,たまねぎゆで
166,368,たまねぎあぶらいため
167,370,あかたまねぎなま
168,372,ちんげんさいゆで
169,374,ちんげんさいあぶらいため
170,376,つくしゆで
171,378,つるむらさきゆで
172,380,すいーとこーんゆで
173,382,すいーとこーんでんしれんじ
174,384,すいーとこーんくりーむかんづめ
175,386,すいーとこーんかんづめ
176,388,やんぐこーん
177,390,とまと
178,392,とまとじゅーすしょくえんてんか
179,394,とまとじゅーすしょくえんむてんか
180,396,やさいみっくすじゅーすしょくえんてんか
181,398,やさいみっくすじゅーすしょくえんむてんか
182,400,ながさきはくさいなま
183,402,ながさきはくせいゆで
184,404,なしあぶらいため
185,406,なすてんぷら
186,408,べいなすすあげ
187,410,なすしおづけ
188,412,なすぬかみそづけ
189,414,なばな
190,416,にがうり　あぶらいため
191,418,にんじんなま
192,420,にんじんゆで
193,422,にんじんあぶらいため
194,424,にんじんすあげ
195,426,にんじんぐらっせ
196,428,にんじんじゅーす
197,430,みにきゃろっと
198,432,のざわなちょうみづけ
199,434,はくさいなま
200,436,ばじる
201,438,ぱせり
202,440,はやとうりしおづけ
203,442,びーつ
204,444,びーつゆで
205,446,ぴーまんあぶらいため
206,448,ひろしまなしおづけ
207,449,ふきのとう(ゆで)
208,450,ふきのとう
209,452,ぶりっこりーゆで
210,453,へちま(ゆで)　
211,454,へちまゆで
212,455,ほうれんそう(ゆで)
213,456,ほうれんそうゆで
214,458,ほうれんそうあぶらいため
215,460,ほーすらでぃっしゅ
216,461,みずな(ゆで)
217,462,みずなゆで
218,464,みずなしおづけ
219,466,きりみつばゆで
220,468,みょうがなま
221,470,めきゃべつゆで
222,472,もやしなま
223,474,もやしゆで
224,476,りょくとうもやしなま
225,478,りょうくとうもやしゆで
226,480,もろへいや
227,482,やまごぼうみそづけ
228,484,ゆりねゆで
229,486,よもぎゆで
230,488,らっかせいゆで
231,490,らっきょうあまず
232,492,えしゃれっと
233,494,るっこら
234,496,れたす
235,498,りーふれたす
236,500,さにーれたす
237,502,わさびづけ
238,504,あけび
239,506,あせろら
240,510,あてもや
241,512,あぼかど
242,514,あんずなま
243,516,あんずどらい
244,518,あんずじゃむ
245,520,あんずじゃむていとう
246,522,いちご
247,524,いちごじゃむ
248,526,いちごじゃむていとう
249,528,いちごどらい
250,530,いちじく
251,532,うめしおづけ
252,534,うめぼししお
253,538,ぐりーんおりーぶ
254,540,ぶらっくおりーぶ
